neo_id,name,absolute_magnitude,estimated_diameter_min,estimated_diameter_max,rel_velocity,miss_distance,is_hazardous,year
54106340,"(2021 BG1)",23.66,0.0492668706,0.1101640716,52253.1565476266,8097124.78223568,False,2021
54106341,"(2021 BH1)",24.4,0.0350392641,0.0783501764,32020.9194816942,13949389.64189,False,2021
54106342,"(2021 BL1)",27.98,0.0067383719,0.0150674576,31740.5414775981,3686889.96551155,False,2021
54106343,"(2021 BJ1)",24.4,0.0350392641,0.0783501764,56793.2456779481,5391152.8075264,False,2021
54106344,"(2021 BK1)",26.35,0.0142743051,0.0319183166,81652.2800859739,474712.054328767,False,2021
54106345,"(2021 BM1)",27.3,0.0092162655,0.0206081961,52853.8690507984,1589031.32774081,False,2021
54106346,"(2021 BN1)",22.26,0.0938760865,0.2099133109,61778.294448013,10958808.8714093,False,2021
54106347,"(2021 BO1)",29.2,0.0038419789,0.008590926,60954.8104436342,250975.125533337,False,2021
54106530,"(2021 BP1)",29.6,0.0031956189,0.007145621,30283.9731869789,437784.957063079,False,2021
54106531,"(2021 BQ1)",27.9,0.0069912523,0.0156329154,28648.450249008,2163260.52272754,False,2021
54106532,"(2021 BR1)",26.46,0.0135692229,0.0303417048,27718.9449348771,6306531.9266023,False,2021
54106533,"(2021 BS1)",18.59,0.5088092249,1.1377320144,64241.661729794,34921594.3539807,False,2021
54106534,"(2021 AB8)",19.96,0.2707415909,0.6053966017,26609.5477754776,42465477.8940796,False,2021
54106535,"(2021 BT1)",24.3,0.0366906138,0.0820427065,53437.8742923845,24697933.8301237,False,2021
54106536,"(2021 BU1)",26.28,0.0147419515,0.0329640056,35668.8908593099,5259834.91461296,False,2021
